번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트),기준일
1,삼성전자,398413,22,8.52,2021
2,SK하이닉스,86696,4.49,9.09,2021
3,NAVER,55368,2.92,8.92,2021
4,현대차,36211,2.1,8.11,2021
5,삼성SDI,36157,2.12,8.03,2021
6,삼성바이오로직스,35172,2.81,5.89,2021
7,카카오,35065,2.36,6.99,2021
8,LG화학,29246,2.04,6.74,2021
9,기아,27398,1.57,8.22,2021
10,현대모비스,22467,1.13,9.33,2021
11,POSCO,22188,1.13,9.27,2021
12,KB금융,20815,1.08,9.1,2021
13,LG전자,18654,1.06,8.26,2021
14,SK이노베이션,18364,1.04,8.33,2021
15,셀트리온,17966,1.31,6.58,2021
16,신한지주,16833,0.89,8.85,2021
17,삼성물산,15735,1.05,7.08,2021
18,SK,15667,0.88,8.42,2021
19,삼성전기,15413,0.69,10.45,2021
20,크래프톤,15014,1.06,6.67,2021
21,카카오뱅크,12362,1.32,4.41,2021
22,LG생활건강,12118,0.81,7.07,2021
23,SK텔레콤,12066,0.6,9.52,2021
24,엔씨소프트,11894,0.66,8.43,2021
25,하나금융지주,11689,0.59,9.26,2021
26,하이브,10903,0.68,7.55,2021
27,KT,10094,0.38,12.63,2021
28,고려아연,9438,0.45,9.79,2021
29,LG이노텍,9294,0.41,10.79,2021
30,KT&G,9123,0.51,8.41,2021
31,삼성화재,8897,0.45,9.3,2021
32,LG,8782,0.6,6.9,2021
33,한국전력,8384,0.67,5.91,2021
34,우리금융지주,8296,0.44,8.97,2021
35,SK스퀘어,8213,0.44,8.74,2021
36,SK바이오사이언스,8184,0.81,4.75,2021
37,S-Oil,7676,0.45,7.96,2021
38,삼성에스디에스,7665,0.57,6.33,2021
39,삼성생명,7603,0.6,5.93,2021
40,대한항공,7564,0.48,7.41,2021
41,카카오페이,7410,1.08,3.22,2021
42,CJ제일제당,7259,0.27,12.44,2021
43,포스코퓨처엠,6533,0.53,5.86,2021
44,두산에너빌리티,6158,0.58,5.79,2021
45,현대글로비스,6092,0.3,9.67,2021
46,SK아이이테크놀로지,6038,0.56,5.04,2021
47,LG디스플레이,6008,0.41,6.83,2021
48,SKC,5923,0.31,8.96,2021
49,HMM,5923,0.62,4.5,2021
50,롯데케미칼,5746,0.35,7.73,2021
51,넷마블,5554,0.51,5.17,2021
52,아모레퍼시픽,5537,0.46,5.67,2021
53,유한양행,5460,0.21,12.56,2021
54,LG유플러스,5387,0.28,9.07,2021
55,한화솔루션,5279,0.32,7.77,2021
56,한국금융지주,5084,0.21,11.3,2021
57,현대건설,4912,0.23,9.92,2021
58,현대중공업,4656,0.4,5.51,2021
59,이마트,4569,0.2,10.85,2021
60,기업은행,4495,0.36,5.86,2021
61,한솔케미칼,4468,0.16,12.9,2021
62,삼성증권,4455,0.19,11.11,2021
63,코웨이,4443,0.26,8.09,2021
64,GS건설,4297,0.16,12.68,2021
65,SK바이오팜,4120,0.36,5.41,2021
66,현대제철,4062,0.26,7.42,2021
67,DB하이텍,3991,0.15,12.36,2021
68,F&F,3976,0.34,5.49,2021
69,HD한국조선해양,3945,0.32,5.89,2021
70,일진머티리얼즈,3935,0.29,6.32,2021
71,삼성엔지니어링,3875,0.21,8.63,2021
72,DB손해보험,3775,0.18,9.88,2021
73,미래에셋증권,3739,0.26,6.8,2021
