종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가,90일_시장수익률,180일_시장수익률,270일_시장수익률,360일_시장수익률,개인_90진입_180매도_종목수익률,개인_90진입_180매도_시장수익률,개인_90진입_180매도_초과수익률,개인_90진입_360매도_종목수익률,개인_90진입_360매도_시장수익률,개인_90진입_360매도_초과수익률,개인_180진입_360매도_종목수익률,개인_180진입_360매도_시장수익률,개인_180진입_360매도_초과수익률
한온시스템,산업재,2025-12-31,매도,2935.0,3740.0,,,,0.1723651678506143,,,,,,,,,,,,
롯데관광개발,기타,2025-12-30,매수,23250.0,18110.0,,,,0.2522750393366872,,,,,,,,,,,,
HL만도,정보기술,2025-12-30,매수,57845.15,49750.0,,,,0.2522750393366872,,,,,,,,,,,,
하나머티리얼즈,정보기술,2025-12-30,매수,43100.0,60000.0,,,,0.2522750393366872,,,,,,,,,,,,
코스모신소재,소재,2025-12-30,매도,43300.0,52400.0,,,,0.2522750393366872,,,,,,,,,,,,
덴티움,헬스케어,2025-12-30,매도,45665.9,51600.0,,,,0.2522750393366872,,,,,,,,,,,,
태광,소재,2025-12-29,매수,21850.0,34800.0,,,,0.2503790329774019,,,,,,,,,,,,
피에스케이,산업재,2025-12-29,매수,36200.0,80000.0,,,,0.2503790329774019,,,,,,,,,,,,
에스티아이,산업재,2025-12-29,매수,30150.0,29350.0,,,,0.2503790329774019,,,,,,,,,,,,
현대위아,정보기술,2025-12-26,매수,72356.03,79739.3,,,,0.3222476628966779,,,,,,,,,,,,
아이에스동서,기타,2025-12-26,매도,23950.0,27600.0,,,,0.3222476628966779,,,,,,,,,,,,
KG스틸,소재,2025-12-24,매도,5209.51,5531.55,,,,0.3517725570785698,,,,,,,,,,,,
에이치브이엠,소재,2025-12-22,매수,52200.0,87400.0,,,,0.3165713415892243,,,,,,,,,,,,
케이씨텍,기타,2025-12-22,매수,38435.11,45400.0,,,,0.3165713415892243,,,,,,,,,,,,
대상,필수소비재,2025-12-19,매도,20533.81,19478.33,,,,0.4334407344396977,,,,,,,,,,,,
해성디에스,정보기술,2025-12-18,매수,55378.73,57500.0,,,,0.4832932626707567,,,,,,,,,,,,
오스코텍,기타,2025-12-17,매수,51600.0,54900.0,,,,0.3905103534114091,,,,,,,,,,,,
한섬,기타,2025-12-17,매도,16063.79,24187.78,,,,0.3905103534114091,,,,,,,,,,,,
더존비즈온,정보기술,2025-12-17,매도,83449.15,119100.0,,,,0.3905103534114091,,,,,,,,,,,,
STX엔진,산업재,2025-12-17,매도,37300.0,34200.0,,,,0.3905103534114091,,,,,,,,,,,,
코리아써키트,정보기술,2025-12-16,매수,33815.46,52600.0,,,,0.3877644038290556,,,,,,,,,,,,
HL홀딩스,금융,2025-12-16,매수,45878.45,42437.57,,,,0.3877644038290556,,,,,,,,,,,,
제이에스코퍼레이션,기타,2025-12-16,매수,13450.63,12160.0,,,,0.3877644038290556,,,,,,,,,,,,
삼화전기,정보기술,2025-12-15,매도,28420.0,39100.0,,,,0.3567358201168757,,,,,,,,,,,,
S-Oil,에너지 / 유틸리티,2025-12-12,매수,81347.16,117634.37,,,,0.339821314913015,,,,,,,,,,,,
한올바이오파마,기타,2025-12-12,매도,42550.0,55900.0,,,,0.339821314913015,,,,,,,,,,,,
한세실업,기타,2025-12-12,매도,12522.29,12075.41,,,,0.339821314913015,,,,,,,,,,,,
녹십자,기타,2025-12-11,매도,149599.0,149896.03,,,,0.3647454727951963,,,,,,,,,,,,
감성코퍼레이션,기타,2025-12-09,매수,6458.51,5493.11,,,,0.2674808714127639,,,,,,,,,,,,
엘앤에프,기타,2025-12-08,매수,132000.0,113000.0,,,,0.2640335977825238,,,,,,,,,,,,
CJ제일제당,필수소비재,2025-12-05,매도,211544.42,197100.0,,,,0.3619102616655523,,,,,,,,,,,,
진시스템,헬스케어,2025-12-04,매도,4295.0,4425.0,,,,0.2643731867899311,,,,,,,,,,,,
에스티팜,기타,2025-12-03,매수,118526.8,155111.61,,,,0.4349553021786842,,,,,,,,,,,,
삼성전기,정보기술,2025-12-03,매수,258631.84,409000.0,,,,0.4349553021786842,,,,,,,,,,,,
에스엘,정보기술,2025-12-03,매수,42069.0,65525.94,,,,0.4349553021786842,,,,,,,,,,,,
솔루스첨단소재,정보기술,2025-12-03,매도,8278.93,8330.0,,,,0.4349553021786842,,,,,,,,,,,,
SNT에너지,산업재,2025-12-01,매도,38639.73,43477.7,,,,0.4773886095237241,,,,,,,,,,,,
우신시스템,산업재,2025-11-28,매도,6219.81,6690.0,,,,0.6062970359402942,,,,,,,,,,,,
대한항공,산업재,2025-11-28,매도,21202.27,27267.0,,,,0.6062970359402942,,,,,,,,,,,,
동아에스티,기타,2025-11-27,매도,49414.66,51289.98,,,,0.5259586991927868,,,,,,,,,,,,
엠앤씨솔루션,산업재,2025-11-26,매수,125191.22,149600.0,,,,0.5071537213034443,,,,,,,,,,,,
케이씨,기타,2025-11-26,매수,24721.1,32320.0,,,,0.5071537213034443,,,,,,,,,,,,
와이지엔터테인먼트,기타,2025-11-26,매수,60517.21,73700.0,,,,0.5071537213034443,,,,,,,,,,,,
테크윙,산업재,2025-11-26,매도,44668.09,45750.0,,,,0.5071537213034443,,,,,,,,,,,,
하이트진로,기타,2025-11-25,매도,18580.0,18150.0,,,,0.5154025888862092,,,,,,,,,,,,
디와이파워,산업재,2025-11-24,매도,12449.91,14619.73,,,,0.5200204247168019,,,,,,,,,,,,
이마트,기타,2025-11-24,매도,75620.41,109532.66,,,,0.5200204247168019,,,,,,,,,,,,
한국카본,소재,2025-11-21,매수,26427.9,36750.0,,,,0.4733628111291974,,,,,,,,,,,,
파라다이스,기타,2025-11-21,매수,17922.09,20150.0,,,,0.4733628111291974,,,,,,,,,,,,
비나텍,기타,2025-11-21,매도,51553.4,115000.0,,,,0.4733628111291974,,,,,,,,,,,,
진성티이씨,산업재,2025-11-20,매수,11696.32,16210.0,,,,0.4175936331106338,,,,,,,,,,,,
테스,산업재,2025-11-17,매수,45703.84,71500.0,,,,0.388335269303662,,,,,,,,,,,,
세아제강지주,금융,2025-11-17,매수,139740.36,147168.09,,,,0.388335269303662,,,,,,,,,,,,
이수페타시스,정보기술,2025-11-14,매수,110877.8,107983.6,133100.0,,,0.3765857071991044,0.9553465680416224,,,0.2325945791768379,0.42043212988176704,-0.18783755070492913,,,,,,
경동나비엔,기타,2025-11-13,매수,61653.88,62200.0,71900.0,,,0.2838564880670143,0.8326128467648936,,,0.15594855305466238,0.4274281150567627,-0.2714795620021003,,,,,,
하나투어,기타,2025-11-13,매도,45696.77,51100.0,40350.0,,,0.2838564880670143,0.8326128467648936,,,-0.21037181996086105,0.4274281150567627,-0.6377999350176238,,,,,,
한국콜마,소재,2025-11-13,매도,64690.13,72702.21,100100.0,,,0.2838564880670143,0.8326128467648936,,,0.3768494795412683,0.4274281150567627,-0.05057863551549441,,,,,,
코스맥스,소재,2025-11-12,매도,155456.59,204159.77,213000.0,,,0.2773955620465367,0.8846999864352926,,,0.04330054838913666,0.47542393478789235,-0.4321233863987557,,,,,,
한화엔진,산업재,2025-11-12,매도,42250.0,54500.0,78400.0,,,0.2773955620465367,0.8846999864352926,,,0.43853211009174314,0.47542393478789235,-0.03689182469614921,,,,,,
디어유,정보기술,2025-11-05,매수,36118.42,36515.33,32450.0,,,0.3205608256111533,0.7323333640610985,,,-0.11133214460885336,0.31181641198494425,-0.42314855659379763,,,,,,
TCC스틸,소재,2025-11-05,매도,17734.97,16390.0,19980.0,,,0.3205608256111533,0.7323333640610985,,,0.2190359975594875,0.31181641198494425,-0.09278041442545676,,,,,,
하이록코리아,소재,2025-11-05,매도,32905.67,31845.75,46150.0,,,0.3205608256111533,0.7323333640610985,,,0.4491729665653973,0.31181641198494425,0.13735655458045304,,,,,,
덕산네오룩스,정보기술,2025-11-03,매수,42400.0,37350.0,53000.0,,,0.17238801395727,0.6431083955269193,,,0.4190093708165997,0.4015056243886215,0.01750374642797825,,,,,,
에스에프에이,산업재,2025-11-03,매도,24062.11,32200.0,32550.0,,,0.17238801395727,0.6431083955269193,,,0.010869565217391304,0.4015056243886215,-0.3906360591712302,,,,,,
씨에스윈드,소재,2025-10-30,매도,43357.75,40050.0,72700.0,,,0.2652188325367037,0.6249569217882471,,,0.815230961298377,0.2843287500947844,0.5309022112035926,,,,,,
미코,정보기술,2025-10-29,매수,15310.0,15190.0,20850.0,,,0.2459356356246773,0.6208740044949896,,,0.3726135615536537,0.3009291637142464,0.07168439783940733,,,,,,
대한광통신,기타,2025-10-28,매수,1797.0,3005.0,16020.0,,,0.2341855202394111,0.6494647505189589,,,4.331114808652246,0.33648039412987973,3.9946344145223662,,,,,,
유진테크,산업재,2025-10-28,매수,88849.38,83458.52,136000.0,,,0.2341855202394111,0.6494647505189589,,,0.6295520217708149,0.33648039412987973,0.2930716276409352,,,,,,
한글과컴퓨터,정보기술,2025-10-28,매도,24517.96,24700.0,21200.0,,,0.2341855202394111,0.6494647505189589,,,-0.1417004048582996,0.33648039412987973,-0.47818079898817933,,,,,,
유니드,소재,2025-10-28,매도,69016.66,77021.43,92400.0,,,0.2341855202394111,0.6494647505189589,,,0.19966611889703953,0.33648039412987973,-0.1368142752328402,,,,,,
대한유화,소재,2025-10-24,매수,132033.94,156500.0,156000.0,,,0.256480170368664,0.6282591625898519,,,-0.003194888178913738,0.29588926350672473,-0.29908415168563846,,,,,,
이녹스첨단소재,정보기술,2025-10-24,매도,25478.54,26566.94,35650.0,,,0.256480170368664,0.6282591625898519,,,0.34189334563935486,0.29588926350672473,0.04600408213263013,,,,,,
농심,필수소비재,2025-10-24,매도,422145.12,403448.75,377500.0,,,0.256480170368664,0.6282591625898519,,,-0.06431733894329825,0.29588926350672473,-0.360206602450023,,,,,,
유비쿼스,정보기술,2025-10-23,매수,8455.0,11930.0,15490.0,,,0.2767789609237621,0.6612587288988785,,,0.29840737636211234,0.30113259988004626,-0.002725223517933917,,,,,,
더블유게임즈,정보기술,2025-10-20,매도,49024.51,49611.63,51700.0,,,0.2857297006010251,0.6303002181764189,,,0.04209436376107785,0.26799607834704386,-0.22590171458596603,,,,,,
동국제강,소재,2025-10-20,매도,8482.74,8081.6,10450.0,,,0.2857297006010251,0.6303002181764189,,,0.2930607800435557,0.26799607834704386,0.025064701696511815,,,,,,
두산테스나,기타,2025-10-16,매도,53017.43,50421.48,97800.0,,,0.2600410178278007,0.5920919795609081,,,0.9396495303192209,0.2635239305983339,0.676125599720887,,,,,,
제일기획,기타,2025-10-15,매도,19095.73,21100.0,19330.0,,,0.2830956610180398,0.5882349917581312,,,-0.08388625592417062,0.23781495021032661,-0.32170120613449726,,,,,,
DL,소재,2025-10-15,매도,36850.0,35500.0,63800.0,,,0.2830956610180398,0.5882349917581312,,,0.7971830985915493,0.23781495021032661,0.5593681483812227,,,,,,
브이티,소재,2025-10-14,매수,27000.0,17360.0,15720.0,,,0.2984381432423796,0.6308056919466448,,,-0.0944700460829493,0.25597488061641305,-0.35044492669936234,,,,,,
포스코퓨처엠,기타,2025-10-14,매도,166500.61,187775.12,214500.0,,,0.2984381432423796,0.6308056919466448,,,0.14232386058387292,0.25597488061641305,-0.11365102003254013,,,,,,
SK스퀘어,금융,2025-10-10,매수,247000.0,430500.0,578000.0,,,0.2608347626596979,0.6264165747854252,,,0.3426248548199768,0.2899521990927203,0.05267265572725649,,,,,,
화승엔터프라이즈,기타,2025-10-10,매도,5544.0,4690.0,4580.0,,,0.2608347626596979,0.6264165747854252,,,-0.023454157782515993,0.2899521990927203,-0.31340635687523627,,,,,,
LX인터내셔널,기타,2025-10-02,매도,29193.03,30679.05,45250.0,,,0.2142504755267113,0.4235449625535612,,,0.47494788789092235,0.1723651678506144,0.30258272004030795,,,,,,
오리온,필수소비재,2025-10-02,매도,100611.9,100417.1,128000.0,,,0.2142504755267113,0.4235449625535612,,,0.27468329597249863,0.1723651678506144,0.10231812812188423,,,,,,
SK가스,기타,2025-10-01,매수,228340.08,218623.48,261000.0,,,0.2194378272676664,0.5270715531102614,,,0.19383334306086422,0.25227503933668727,-0.058441696275823046,,,,,,
하나투어,기타,2025-07-01,매수,53353.54,49061.84,47793.84,40800.0,,0.1105497611022689,0.3660318133106644,0.7080575377437555,,-0.02584493365923496,0.23005007173637892,-0.2558950053956139,,,,,,
넷마블,정보기술,2025-06-30,매수,61053.8,62038.54,47661.35,52200.0,,0.1170394294626561,0.374014430342904,0.7706384749957538,,-0.23174610492123127,0.23005007173637915,-0.4617961766576104,,,,,,
원익머트리얼즈,소재,2025-06-30,매수,21643.44,32317.59,31050.0,42000.0,,0.1170394294626561,0.374014430342904,0.7706384749957538,,-0.03922291235206586,0.23005007173637915,-0.269272984088445,,,,,,
엠앤씨솔루션,산업재,2025-06-27,매수,156340.69,212113.08,133695.52,109000.0,,0.1358567818661306,0.3444701780679756,0.8174178905228275,,-0.3696969559821582,0.18366170764865997,-0.5533586636308181,,,,,,
한국카본,소재,2025-06-27,매수,25042.17,32119.3,31475.92,46800.0,,0.1358567818661306,0.3444701780679756,0.8174178905228275,,-0.020030947125248715,0.18366170764865997,-0.2036926547739087,,,,,,
한섬,기타,2025-06-26,매도,16325.54,14803.5,15879.59,23896.95,,0.127479193948126,0.3369831228746623,0.7553643693081541,,0.0726915932043098,0.1858162261894254,-0.11312463298511559,,,,,,
현대제철,소재,2025-06-25,매수,30507.86,35633.57,30212.14,34007.14,,0.1215925171418804,0.320978098859889,0.739161907825947,,-0.15214389128004857,0.17777007127873556,-0.32991396255878414,,,,,,
해성디에스,정보기술,2025-06-25,매도,26902.46,29755.0,56264.0,52900.0,,0.1215925171418804,0.320978098859889,0.739161907825947,,0.8909090909090909,0.17777007127873556,0.7131390196303553,,,,,,
JW중외제약,기타,2025-06-24,매도,22568.25,21687.06,27267.93,29226.12,,0.1176070750471051,0.3229402630118098,0.7417452369158598,,0.25733640244459133,0.1837257409595856,0.07361066148500572,,,,,,
두산밥캣,산업재,2025-06-23,매수,56600.25,54556.59,58777.05,62228.72,,0.1506665967996647,0.362073669894128,0.9178164823330568,,0.07735930709745617,0.18372574095958583,-0.10636643386212966,,,,,,
한세실업,기타,2025-06-23,매도,9936.07,10325.9,13977.05,11733.11,,0.1506665967996647,0.362073669894128,0.9178164823330568,,0.353591454497913,0.18372574095958583,0.1698657135383272,,,,,,
산일전기,에너지 / 유틸리티,2025-06-20,매수,82000.0,120100.0,140100.0,139800.0,,0.1454279340255433,0.3423641867630806,0.86657129974275,,0.16652789342214822,0.1719324689816284,-0.005404575559480179,,,,,,
HL만도,정보기술,2025-06-19,매도,33061.41,34588.84,51439.81,50257.28,,0.1463055584228778,0.3430084211273706,0.8637792808832268,,0.48717939080929,0.1715972336164211,0.3155821571928689,,,,,,
이마트,기타,2025-06-18,매수,80005.61,75425.51,87119.39,91017.35,,0.160632457949629,0.3762882482386774,0.8672595651913203,,0.15503879257826703,0.18580885689689008,-0.030770064318623058,,,,,,
미코,정보기술,2025-06-18,매수,15090.0,16610.0,13760.0,13630.0,,0.160632457949629,0.3762882482386774,0.8672595651913203,,-0.1715833835039133,0.18580885689689008,-0.3573922404008034,,,,,,
ESR켄달스퀘어리츠,기타,2025-06-18,매수,4069.4,4413.36,4310.0,4290.0,,0.160632457949629,0.3762882482386774,0.8672595651913203,,-0.023419798067685318,0.18580885689689008,-0.2092286549645754,,,,,,
오뚜기,필수소비재,2025-06-18,매도,381014.16,413700.41,380038.47,357109.31,,0.160632457949629,0.3762882482386774,0.8672595651913203,,-0.08136791549227618,0.18580885689689008,-0.26717677238916626,,,,,,
농심,필수소비재,2025-06-18,매도,383276.31,482170.44,423621.19,355723.69,,0.160632457949629,0.3762882482386774,0.8672595651913203,,-0.12142853468993246,0.18580885689689008,-0.30723739158682256,,,,,,
HDC,금융,2025-06-17,매수,22539.05,21407.18,18306.83,24261.47,,0.1549028919777674,0.3864996848423703,0.8811137870064031,,-0.144827576542076,0.20053356388085053,-0.34536114042292654,,,,,,
한화투자증권,금융,2025-06-17,매수,6700.0,6180.0,4705.0,7420.0,,0.1549028919777674,0.3864996848423703,0.8811137870064031,,-0.23867313915857605,0.20053356388085053,-0.43920670303942655,,,,,,
에스티아이,산업재,2025-06-17,매도,19950.41,20000.16,30895.78,32650.0,,0.1549028919777674,0.3864996848423703,0.8811137870064031,,0.5447766417868657,0.20053356388085053,0.34424307790601516,,,,,,
삼성SDI,기타,2025-06-17,매도,169300.0,201500.0,303000.0,383000.0,,0.1549028919777674,0.3864996848423703,0.8811137870064031,,0.5037220843672456,0.20053356388085053,0.3031885204863951,,,,,,
NH투자증권,금융,2025-06-16,매수,18153.77,20828.25,20154.82,30496.79,,0.1563295935819811,0.3882124880038716,0.8621898685440571,,-0.03233252913710947,0.20053356388085075,-0.2328660930179602,,,,,,
비에이치,정보기술,2025-06-16,매도,12213.59,17827.9,18300.69,18470.0,,0.1563295935819811,0.3882124880038716,0.8621898685440571,,0.026519668609314456,0.20053356388085075,-0.1740138952715363,,,,,,
이녹스첨단소재,정보기술,2025-06-13,매수,22114.38,23944.88,24093.3,33542.62,,0.1553156600117877,0.4285121475690186,0.9113353807288642,,0.006198402330686069,0.23646912875260728,-0.2302707264219212,,,,,,
대한해운,산업재,2025-06-13,매도,1796.0,1830.0,1843.0,2190.0,,0.1553156600117877,0.4285121475690186,0.9113353807288642,,0.007103825136612022,0.23646912875260728,-0.22936530361599525,,,,,,
SBS,통신서비스,2025-06-12,매수,28607.01,19838.77,19123.59,15880.81,,0.1351013503429597,0.4190093126149257,0.798567160095993,,-0.03604961396296243,0.2501168395105742,-0.2861664534735366,,,,,,
대신증권,금융,2025-06-12,매수,23665.24,28029.74,26671.89,36661.73,,0.1351013503429597,0.4190093126149257,0.798567160095993,,-0.04844318926968292,0.2501168395105742,-0.2985600287802571,,,,,,
시프트업,정보기술,2025-06-12,매도,52700.0,41450.0,39300.0,30700.0,,0.1351013503429597,0.4190093126149257,0.798567160095993,,-0.05186972255729795,0.2501168395105742,-0.3019865620678721,,,,,,
브이티,소재,2025-06-11,매수,43800.0,31350.0,19470.0,14510.0,,0.1214327993499079,0.4292373141844169,0.8066039843335598,,-0.37894736842105264,0.27447432874528244,-0.6534216971663351,,,,,,
대주전자재료,정보기술,2025-06-10,매수,70993.88,68497.61,76385.82,116000.0,,0.121085703783136,0.4467503373686081,0.8287410340371218,,0.11516036836905706,0.29049039916083785,-0.17533003079178078,,,,,,
엘앤에프,기타,2025-06-10,매도,49900.0,62400.0,132000.0,113000.0,,0.121085703783136,0.4467503373686081,0.8287410340371218,,1.1153846153846154,0.29049039916083785,0.8248942162237776,,,,,,
현대오토에버,정보기술,2025-06-09,매수,146378.73,168270.88,300519.25,406994.59,,0.1273982379082097,0.4548966020513909,0.9556442146921228,,0.785925467317934,0.2904903991608381,0.4954350681570959,,,,,,
현대위아,정보기술,2025-06-09,매수,43167.51,51190.66,66646.3,89878.98,,0.1273982379082097,0.4548966020513909,0.9556442146921228,,0.30192304611817855,0.2904903991608381,0.011432646957340475,,,,,,
와이지엔터테인먼트,기타,2025-06-05,매수,86993.48,99634.41,62507.91,67700.0,,0.1324193618822872,0.420646810075605,1.0596753456303816,,-0.3726272881025742,0.2545235960238539,-0.627150884126428,,,,,,
롯데관광개발,기타,2025-06-05,매수,13090.0,15570.0,20950.0,21950.0,,0.1324193618822872,0.420646810075605,1.0596753456303816,,0.3455362877328195,0.2545235960238539,0.09101269170896564,,,,,,
