종목명,섹터,변동일자,매수매도,90일_종목수익률,90일_시장수익률,90일_초과수익률,180일_종목수익률,180일_시장수익률,180일_초과수익률,270일_종목수익률,270일_시장수익률,270일_초과수익률,360일_종목수익률,360일_시장수익률,360일_초과수익률
한온시스템,산업재,2025-12-31,매도,0.27427597955706984,0.17236516785061434,0.1019108117064555,,,,,,,,,
롯데관광개발,기타,2025-12-30,매수,-0.2210752688172043,0.25227503933668727,-0.47335030815389156,,,,,,,,,
HL만도,정보기술,2025-12-30,매수,-0.1399451812295413,0.25227503933668727,-0.3922202205662286,,,,,,,,,
하나머티리얼즈,정보기술,2025-12-30,매수,0.39211136890951276,0.25227503933668727,0.1398363295728255,,,,,,,,,
코스모신소재,소재,2025-12-30,매도,0.21016166281755197,0.25227503933668727,-0.0421133765191353,,,,,,,,,
덴티움,헬스케어,2025-12-30,매도,0.12994597719523754,0.25227503933668727,-0.12232906214144973,,,,,,,,,
태광,소재,2025-12-29,매수,0.5926773455377574,0.25037903297740194,0.3422983125603555,,,,,,,,,
피에스케이,산업재,2025-12-29,매수,1.2099447513812154,0.25037903297740194,0.9595657184038134,,,,,,,,,
에스티아이,산업재,2025-12-29,매수,-0.026533996683250415,0.25037903297740194,-0.27691302966065234,,,,,,,,,
현대위아,정보기술,2025-12-26,매수,0.10204083889069099,0.32224766289667794,-0.22020682400598696,,,,,,,,,
아이에스동서,기타,2025-12-26,매도,0.1524008350730689,0.32224766289667794,-0.16984682782360905,,,,,,,,,
KG스틸,소재,2025-12-24,매도,0.06181771414202102,0.3517725570785698,-0.2899548429365488,,,,,,,,,
에이치브이엠,소재,2025-12-22,매수,0.6743295019157088,0.31657134158922434,0.3577581603264845,,,,,,,,,
케이씨텍,기타,2025-12-22,매수,0.1812116577785259,0.31657134158922434,-0.13535968381069843,,,,,,,,,
대상,필수소비재,2025-12-19,매도,-0.05140205349129068,0.4334407344396977,-0.4848427879309884,,,,,,,,,
해성디에스,정보기술,2025-12-18,매수,0.03830477874808608,0.4832932626707567,-0.4449884839226706,,,,,,,,,
오스코텍,기타,2025-12-17,매수,0.06395348837209303,0.3905103534114091,-0.3265568650393161,,,,,,,,,
한섬,기타,2025-12-17,매도,0.5057330804249806,0.3905103534114091,0.11522272701357145,,,,,,,,,
더존비즈온,정보기술,2025-12-17,매도,0.4272164545714367,0.3905103534114091,0.03670610116002759,,,,,,,,,
STX엔진,산업재,2025-12-17,매도,-0.08310991957104558,0.3905103534114091,-0.4736202729824547,,,,,,,,,
코리아써키트,정보기술,2025-12-16,매수,0.5555015368710052,0.3877644038290556,0.16773713304194965,,,,,,,,,
HL홀딩스,금융,2025-12-16,매수,-0.07499991826227777,0.3877644038290556,-0.46276432209133334,,,,,,,,,
제이에스코퍼레이션,기타,2025-12-16,매수,-0.09595312635913703,0.3877644038290556,-0.48371753018819263,,,,,,,,,
삼화전기,정보기술,2025-12-15,매도,0.37579169598874035,0.35673582011687577,0.01905587587186458,,,,,,,,,
S-Oil,에너지 / 유틸리티,2025-12-12,매수,0.44607838798551774,0.339821314913015,0.10625707307250276,,,,,,,,,
한올바이오파마,기타,2025-12-12,매도,0.3137485311398355,0.339821314913015,-0.02607278377317951,,,,,,,,,
한세실업,기타,2025-12-12,매도,-0.03568676336357016,0.339821314913015,-0.37550807827658517,,,,,,,,,
녹십자,기타,2025-12-11,매도,0.0019855079245182043,0.3647454727951963,-0.36275996487067813,,,,,,,,,
