종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가
한온시스템,산업재,2025-12-31,매도,2935.0,3740.0,,,
롯데관광개발,기타,2025-12-30,매수,23250.0,18110.0,,,
HL만도,정보기술,2025-12-30,매수,57845.15,49750.0,,,
하나머티리얼즈,정보기술,2025-12-30,매수,43100.0,60000.0,,,
코스모신소재,소재,2025-12-30,매도,43300.0,52400.0,,,
덴티움,헬스케어,2025-12-30,매도,45665.9,51600.0,,,
태광,소재,2025-12-29,매수,21850.0,34800.0,,,
피에스케이,산업재,2025-12-29,매수,36200.0,80000.0,,,
에스티아이,산업재,2025-12-29,매수,30150.0,29350.0,,,
현대위아,정보기술,2025-12-26,매수,72356.03,79739.3,,,
아이에스동서,기타,2025-12-26,매도,23950.0,27600.0,,,
KG스틸,소재,2025-12-24,매도,5209.51,5531.55,,,
에이치브이엠,소재,2025-12-22,매수,52200.0,87400.0,,,
케이씨텍,기타,2025-12-22,매수,38435.11,45400.0,,,
대상,필수소비재,2025-12-19,매도,20533.81,19478.33,,,
해성디에스,정보기술,2025-12-18,매수,55378.73,57500.0,,,
오스코텍,기타,2025-12-17,매수,51600.0,54900.0,,,
한섬,기타,2025-12-17,매도,16063.79,24187.78,,,
더존비즈온,정보기술,2025-12-17,매도,83449.15,119100.0,,,
STX엔진,산업재,2025-12-17,매도,37300.0,34200.0,,,
코리아써키트,정보기술,2025-12-16,매수,33815.46,52600.0,,,
HL홀딩스,금융,2025-12-16,매수,45878.45,42437.57,,,
제이에스코퍼레이션,기타,2025-12-16,매수,13450.63,12160.0,,,
삼화전기,정보기술,2025-12-15,매도,28420.0,39100.0,,,
S-Oil,에너지 / 유틸리티,2025-12-12,매수,81347.16,117634.37,,,
한올바이오파마,기타,2025-12-12,매도,42550.0,55900.0,,,
한세실업,기타,2025-12-12,매도,12522.29,12075.41,,,
녹십자,기타,2025-12-11,매도,149599.0,149896.03,,,
감성코퍼레이션,기타,2025-12-09,매수,6458.51,5493.11,,,
엘앤에프,기타,2025-12-08,매수,132000.0,113000.0,,,
CJ제일제당,필수소비재,2025-12-05,매도,211544.42,197100.0,,,
진시스템,헬스케어,2025-12-04,매도,4295.0,4425.0,,,
에스티팜,기타,2025-12-03,매수,118526.8,155111.61,,,
삼성전기,정보기술,2025-12-03,매수,258631.84,409000.0,,,
에스엘,정보기술,2025-12-03,매수,42069.0,65525.94,,,
솔루스첨단소재,정보기술,2025-12-03,매도,8278.93,8330.0,,,
SNT에너지,산업재,2025-12-01,매도,38639.73,43477.7,,,
우신시스템,산업재,2025-11-28,매도,6219.81,6690.0,,,
대한항공,산업재,2025-11-28,매도,21202.27,27267.0,,,
동아에스티,기타,2025-11-27,매도,49414.66,51289.98,,,
엠앤씨솔루션,산업재,2025-11-26,매수,125191.22,149600.0,,,
케이씨,기타,2025-11-26,매수,24721.1,32320.0,,,
와이지엔터테인먼트,기타,2025-11-26,매수,60517.21,73700.0,,,
테크윙,산업재,2025-11-26,매도,44668.09,45750.0,,,
하이트진로,기타,2025-11-25,매도,18580.0,18150.0,,,
디와이파워,산업재,2025-11-24,매도,12449.91,14619.73,,,
이마트,기타,2025-11-24,매도,75620.41,109532.66,,,
한국카본,소재,2025-11-21,매수,26427.9,36750.0,,,
파라다이스,기타,2025-11-21,매수,17922.09,20150.0,,,
비나텍,기타,2025-11-21,매도,51553.4,115000.0,,,
진성티이씨,산업재,2025-11-20,매수,11696.32,16210.0,,,
테스,산업재,2025-11-17,매수,45703.84,71500.0,,,
세아제강지주,금융,2025-11-17,매수,139740.36,147168.09,,,
이수페타시스,정보기술,2025-11-14,매수,110877.8,107983.6,133100.0,,
경동나비엔,기타,2025-11-13,매수,61653.88,62200.0,71900.0,,
하나투어,기타,2025-11-13,매도,45696.77,51100.0,40350.0,,
한국콜마,소재,2025-11-13,매도,64690.13,72702.21,100100.0,,
코스맥스,소재,2025-11-12,매도,155456.59,204159.77,213000.0,,
한화엔진,산업재,2025-11-12,매도,42250.0,54500.0,78400.0,,
디어유,정보기술,2025-11-05,매수,36118.42,36515.33,32450.0,,
TCC스틸,소재,2025-11-05,매도,17734.97,16390.0,19980.0,,
하이록코리아,소재,2025-11-05,매도,32905.67,31845.75,46150.0,,
덕산네오룩스,정보기술,2025-11-03,매수,42400.0,37350.0,53000.0,,
에스에프에이,산업재,2025-11-03,매도,24062.11,32200.0,32550.0,,
씨에스윈드,소재,2025-10-30,매도,43357.75,40050.0,72700.0,,
미코,정보기술,2025-10-29,매수,15310.0,15190.0,20850.0,,
대한광통신,기타,2025-10-28,매수,1797.0,3005.0,16020.0,,
유진테크,산업재,2025-10-28,매수,88849.38,83458.52,136000.0,,
한글과컴퓨터,정보기술,2025-10-28,매도,24517.96,24700.0,21200.0,,
유니드,소재,2025-10-28,매도,69016.66,77021.43,92400.0,,
대한유화,소재,2025-10-24,매수,132033.94,156500.0,156000.0,,
이녹스첨단소재,정보기술,2025-10-24,매도,25478.54,26566.94,35650.0,,
농심,필수소비재,2025-10-24,매도,422145.12,403448.75,377500.0,,
유비쿼스,정보기술,2025-10-23,매수,8455.0,11930.0,15490.0,,
더블유게임즈,정보기술,2025-10-20,매도,49024.51,49611.63,51700.0,,
동국제강,소재,2025-10-20,매도,8482.74,8081.6,10450.0,,
두산테스나,기타,2025-10-16,매도,53017.43,50421.48,97800.0,,
제일기획,기타,2025-10-15,매도,19095.73,21100.0,19330.0,,
DL,소재,2025-10-15,매도,36850.0,35500.0,63800.0,,
브이티,소재,2025-10-14,매수,27000.0,17360.0,15720.0,,
포스코퓨처엠,기타,2025-10-14,매도,166500.61,187775.12,214500.0,,
SK스퀘어,금융,2025-10-10,매수,247000.0,430500.0,578000.0,,
화승엔터프라이즈,기타,2025-10-10,매도,5544.0,4690.0,4580.0,,
LX인터내셔널,기타,2025-10-02,매도,29193.03,30679.05,45250.0,,
오리온,필수소비재,2025-10-02,매도,100611.9,100417.1,128000.0,,
SK가스,기타,2025-10-01,매수,228340.08,218623.48,261000.0,,
하나투어,기타,2025-07-01,매수,53353.54,49061.84,47793.84,40800.0,
넷마블,정보기술,2025-06-30,매수,61053.8,62038.54,47661.35,52200.0,
원익머트리얼즈,소재,2025-06-30,매수,21643.44,32317.59,31050.0,42000.0,
엠앤씨솔루션,산업재,2025-06-27,매수,156340.69,212113.08,133695.52,109000.0,
한국카본,소재,2025-06-27,매수,25042.17,32119.3,31475.92,46800.0,
한섬,기타,2025-06-26,매도,16325.54,14803.5,15879.59,23896.95,
현대제철,소재,2025-06-25,매수,30507.86,35633.57,30212.14,34007.14,
해성디에스,정보기술,2025-06-25,매도,26902.46,29755.0,56264.0,52900.0,
JW중외제약,기타,2025-06-24,매도,22568.25,21687.06,27267.93,29226.12,
두산밥캣,산업재,2025-06-23,매수,56600.25,54556.59,58777.05,62228.72,
한세실업,기타,2025-06-23,매도,9936.07,10325.9,13977.05,11733.11,
산일전기,에너지 / 유틸리티,2025-06-20,매수,82000.0,120100.0,140100.0,139800.0,
HL만도,정보기술,2025-06-19,매도,33061.41,34588.84,51439.81,50257.28,
이마트,기타,2025-06-18,매수,80005.61,75425.51,87119.39,91017.35,
미코,정보기술,2025-06-18,매수,15090.0,16610.0,13760.0,13630.0,
ESR켄달스퀘어리츠,기타,2025-06-18,매수,4069.4,4413.36,4310.0,4290.0,
오뚜기,필수소비재,2025-06-18,매도,381014.16,413700.41,380038.47,357109.31,
농심,필수소비재,2025-06-18,매도,383276.31,482170.44,423621.19,355723.69,
HDC,금융,2025-06-17,매수,22539.05,21407.18,18306.83,24261.47,
한화투자증권,금융,2025-06-17,매수,6700.0,6180.0,4705.0,7420.0,
에스티아이,산업재,2025-06-17,매도,19950.41,20000.16,30895.78,32650.0,
삼성SDI,기타,2025-06-17,매도,169300.0,201500.0,303000.0,383000.0,
NH투자증권,금융,2025-06-16,매수,18153.77,20828.25,20154.82,30496.79,
비에이치,정보기술,2025-06-16,매도,12213.59,17827.9,18300.69,18470.0,
이녹스첨단소재,정보기술,2025-06-13,매수,22114.38,23944.88,24093.3,33542.62,
대한해운,산업재,2025-06-13,매도,1796.0,1830.0,1843.0,2190.0,
SBS,통신서비스,2025-06-12,매수,28607.01,19838.77,19123.59,15880.81,
대신증권,금융,2025-06-12,매수,23665.24,28029.74,26671.89,36661.73,
시프트업,정보기술,2025-06-12,매도,52700.0,41450.0,39300.0,30700.0,
브이티,소재,2025-06-11,매수,43800.0,31350.0,19470.0,14510.0,
대주전자재료,정보기술,2025-06-10,매수,70993.88,68497.61,76385.82,116000.0,
엘앤에프,기타,2025-06-10,매도,49900.0,62400.0,132000.0,113000.0,
현대오토에버,정보기술,2025-06-09,매수,146378.73,168270.88,300519.25,406994.59,
현대위아,정보기술,2025-06-09,매수,43167.51,51190.66,66646.3,89878.98,
와이지엔터테인먼트,기타,2025-06-05,매수,86993.48,99634.41,62507.91,67700.0,
롯데관광개발,기타,2025-06-05,매수,13090.0,15570.0,20950.0,21950.0,
HL홀딩스,금융,2025-06-04,매수,40048.07,37897.52,46690.89,44827.07,
SK케미칼,기타,2025-06-02,매수,57760.03,57307.73,70525.0,67861.82,
세아제강,소재,2025-06-02,매수,145898.2,126400.29,113625.79,127552.88,
현대코퍼레이션,기타,2025-06-02,매도,25528.4,20878.06,21168.71,27600.0,
현대백화점,기타,2025-05-29,매수,69550.34,73349.31,87485.41,106589.16,
에스앤에스텍,정보기술,2025-05-29,매도,32467.75,55374.44,44419.07,88700.0,
롯데쇼핑,기타,2025-05-28,매수,74025.37,64872.38,69847.55,110819.58,
덕산네오룩스,정보기술,2025-05-27,매수,36650.0,45950.0,35850.0,44000.0,
세아베스틸지주,소재,2025-05-27,매수,20013.17,27290.69,25913.86,69333.1,
카카오,통신서비스,2025-05-27,매수,40892.7,64609.46,58717.72,58018.7,
호텔신라,기타,2025-05-26,매수,48500.0,48450.0,48000.0,48150.0,
제주항공,산업재,2025-05-26,매도,6690.0,6720.0,5420.0,6100.0,
삼화전기,정보기술,2025-05-22,매도,26411.0,23912.0,28910.0,44300.0,
쿠쿠홈시스,기타,2025-05-21,매수,25867.32,25914.96,23533.07,26250.0,
