종목명,날짜,지분율(퍼센트)
(주)한미글로벌건축사사무소,2022-04-01,3.97
키움증권(주),2022-04-04,11.27
롯데칠성음료(주),2022-04-06,7.89
(주)유진테크,2022-04-06,6.19
삼성증권(주),2022-04-06,9.96
현대코퍼레이션,2022-04-07,5
(주)두산테스나,2022-04-07,8.47
(주)성광벤드,2022-04-08,5.05
효성첨단소재,2022-04-08,8.44
리노공업(주),2022-04-12,5.05
(주)DGB금융지주,2022-04-13,11.59
한화투자증권(주),2022-04-15,5.04
(주)서흥,2022-04-15,5
(주)현대홈쇼핑,2022-04-15,7.46
(주)한화,2022-04-15,6.76
SK텔레콤(주),2022-04-15,8.56
환인제약(주),2022-04-15,6.04
티케이지휴켐스,2022-04-15,7.1
HDC(주),2022-04-18,5.02
자화전자(주),2022-04-20,5.04
(주)BNK금융지주,2022-04-21,10.58
(주)만도,2022-04-21,12.56
CJ제일제당(주),2022-04-22,12.86
(주)상아프론테크,2022-04-25,3.89
대덕전자(주),2022-04-25,8.26
미래에셋증권(주),2022-04-28,5.86
한미사이언스(주),2022-04-28,5.05
(주)대웅제약,2022-04-29,9.2
SNT모티브(주),2022-05-02,9.29
두산에너빌리티,2022-05-02,5.53
LX인터내셔널,2022-05-02,8.54
현대오토에버,2022-05-03,6.02
대동,2022-05-04,8.47
한국콜마(주),2022-05-04,9.29
(주)풀무원,2022-05-09,4.79
(주)종근당홀딩스,2022-05-09,7.42
(주)인터로조,2022-05-10,8.45
롯데관광개발(주),2022-05-11,7.19
롯데렌탈(주),2022-05-11,5
(주)제이시스메디칼,2022-05-11,5.18
한미약품(주),2022-05-12,9.87
(주)이수페타시스,2022-05-12,6.72
팬오션(주),2022-05-12,8.33
한국가스공사(주),2022-05-12,9.95
(주)종근당,2022-05-13,8.34
한국단자공업(주),2022-05-13,11.2
(주)LG유플러스,2022-05-13,8.35
(주)신세계푸드,2022-05-13,9.61
삼성화재해상보험(주),2022-05-13,8.71
(주)두산,2022-05-18,10.73
SK케미칼(주),2022-05-19,6.97
피에스케이(주),2022-05-19,9.02
SKC(주),2022-05-19,9.42
LG전자(주),2022-05-19,7.52
씨제이대한통운(주),2022-05-19,9.16
씨제이프레시웨이(주),2022-05-19,5.07
(주)DGB금융지주,2022-05-20,10.57
(주)후성,2022-05-20,8.26
하이록코리아(주),2022-05-24,6.16
(주)카카오뱅크,2022-05-24,5.01
(주)태광,2022-05-24,6
대한해운(주),2022-05-25,5.01
한미반도체(주),2022-05-25,6.58
(주)한국카본,2022-05-25,8.86
에스케이디스커버리(주),2022-05-25,5.26
(주)대우건설,2022-05-25,6.96
(주)지누스,2022-05-26,6
SK가스(주),2022-05-26,6.02
(주)현대미포조선,2022-05-26,11.34
(주)오리온,2022-05-26,8.01
코스모신소재(주),2022-05-27,7.29
삼성전기(주),2022-05-27,8.8
(주)현대백화점,2022-05-31,12.32
엘지디스플레이(주),2022-05-31,5.33
오스템임플란트(주),2022-05-31,5.04
부광약품(주),2022-05-31,3.98
포스코홀딩스,2022-06-02,8.72
(주)심텍,2022-06-02,5.58
쿠쿠홈시스,2022-06-03,7.56
한국투자금융지주(주),2022-06-07,10.56
에스엘(주),2022-06-08,8.28
SK텔레콤(주),2022-06-08,7.53
(주)진성티이씨,2022-06-09,5.07
에스티팜(주),2022-06-10,8.17
(주)케이티,2022-06-10,11.63
한화에어로스페이스(주),2022-06-10,12.66
케이씨씨글라스,2022-06-13,8.09
메리츠증권(주),2022-06-13,5.93
(주)풍산,2022-06-13,8.16
레이,2022-06-13,5.04
(주)세아제강,2022-06-13,7.29
(주)신세계아이앤씨,2022-06-14,6.46
콘텐트리중앙,2022-06-14,11.12
(주)유니드,2022-06-14,9.77
에스케이하이닉스(주),2022-06-15,8.17
(주)제이와이피엔터테인먼트,2022-06-15,7.18
LX하우시스,2022-06-15,4.12
효성중공업,2022-06-16,5
