종목명,섹터,변동일자,매수매도,90일_수익률,90일_시장수익률,90일_초과수익률,180일_수익률,180일_시장수익률,180일_초과수익률,270일_수익률,270일_시장수익률,270일_초과수익률,360일_수익률,360일_시장수익률,360일_초과수익률
한온시스템,산업재,2025-12-31,매도,0.27938671209540034,0.26468634809262775,0.014700364002772581,,,,,,,,,
롯데관광개발,기타,2025-12-30,매수,-0.3058064516129032,0.27600450489072625,-0.5818109565036295,,,,,,,,,
HL만도,정보기술,2025-12-30,매수,-0.16414770631558206,0.27600450489072625,-0.4401522112063083,,,,,,,,,
하나머티리얼즈,정보기술,2025-12-30,매수,0.27610208816705334,0.27600450489072625,9.758327632708452e-05,,,,,,,,,
코스모신소재,소재,2025-12-30,매도,0.18244803695150116,0.27600450489072625,-0.09355646793922509,,,,,,,,,
덴티움,헬스케어,2025-12-30,매도,0.11680710869622864,0.27600450489072625,-0.15919739619449763,,,,,,,,,
태광,소재,2025-12-29,매수,0.8924485125858124,0.27407257094670145,0.6183759416391109,,,,,,,,,
피에스케이,산업재,2025-12-29,매수,1.0994475138121547,0.27407257094670145,0.8253749428654532,,,,,,,,,
에스티아이,산업재,2025-12-29,매수,-0.028192371475953566,0.27407257094670145,-0.302264942422655,,,,,,,,,
현대위아,정보기술,2025-12-26,매수,0.11393616548033099,0.32666452657584877,-0.2127283610955178,,,,,,,,,
아이에스동서,기타,2025-12-26,매도,0.11899791231732777,0.32666452657584877,-0.207666614258521,,,,,,,,,
KG스틸,소재,2025-12-24,매도,0.03080774612970015,0.284445788164033,-0.2536380420343328,,,,,,,,,
에이치브이엠,소재,2025-12-22,매수,0.9540229885057471,0.32463775182261273,0.6293852366831343,,,,,,,,,
케이씨텍,기타,2025-12-22,매수,0.2696724633686567,0.32463775182261273,-0.05496528845395604,,,,,,,,,
대상,필수소비재,2025-12-19,매도,-0.016355077516024923,0.4033427994714411,-0.419697876987466,,,,,,,,,
해성디에스,정보기술,2025-12-18,매수,-0.006838845636375769,0.39038828499540357,-0.39722713063177933,,,,,,,,,
오스코텍,기타,2025-12-17,매수,0.01744186046511628,0.33264391842217794,-0.3152020579570617,,,,,,,,,
한섬,기타,2025-12-17,매도,0.4876282720275532,0.33264391842217794,0.15498435360537527,,,,,,,,,
더존비즈온,정보기술,2025-12-17,매도,0.421224808409238,0.33264391842217794,0.08858088998706004,,,,,,,,,
STX엔진,산업재,2025-12-17,매도,-0.1554959785522788,0.33264391842217794,-0.48813989697445676,,,,,,,,,
코리아써키트,정보기술,2025-12-16,매수,0.9103687546769819,0.44561451233654586,0.464754242340436,,,,,,,,,
HL홀딩스,금융,2025-12-16,매수,-0.03749998722848178,0.44561451233654586,-0.48311449956502767,,,,,,,,,
제이에스코퍼레이션,기타,2025-12-16,매수,-0.08926211426957972,0.44561451233654586,-0.5348766266061256,,,,,,,,,
삼화전기,정보기술,2025-12-15,매도,0.37755102040816324,0.4132924764147326,-0.03574145600656936,,,,,,,,,
S-Oil,에너지 / 유틸리티,2025-12-12,매수,0.3553921483887152,0.42183874941061666,-0.06644660102190147,,,,,,,,,
한올바이오파마,기타,2025-12-12,매도,0.3490011750881316,0.42183874941061666,-0.07283757432248505,,,,,,,,,
한세실업,기타,2025-12-12,매도,-0.06909644750807739,0.42183874941061666,-0.49093519691869403,,,,,,,,,
녹십자,기타,2025-12-11,매도,-0.018530684529976804,0.37217252377190846,-0.39070320830188526,,,,,,,,,
감성코퍼레이션,기타,2025-12-09,매수,-0.14050823037940557,0.32428485067741064,-0.4647930810568162,,,,,,,,,
엘앤에프,기타,2025-12-08,매수,-0.19090909090909092,0.32068308251851274,-0.5115921734276037,,,,,,,,,
CJ제일제당,필수소비재,2025-12-05,매도,-0.05882651863235285,0.3682639144770297,-0.42709043310938255,,,,,,,,,
진시스템,헬스케어,2025-12-04,매도,0.2339930151338766,0.37335884243511686,-0.13936582730124025,,,,,,,,,
에스티팜,기타,2025-12-03,매수,0.36333059155724995,0.30115949103246087,0.06217110052478908,,,,,,,,,
삼성전기,정보기술,2025-12-03,매수,0.4770029647596324,0.30115949103246087,0.17584347372717152,,,,,,,,,
에스엘,정보기술,2025-12-03,매수,0.409350041872248,0.30115949103246087,0.10819055083978713,,,,,,,,,
솔루스첨단소재,정보기술,2025-12-03,매도,-0.05060224989846805,0.30115949103246087,-0.35176174093092893,,,,,,,,,
SNT에너지,산업재,2025-12-01,매도,0.05576576724106146,0.4245772593517582,-0.36881149211069675,,,,,,,,,
우신시스템,산업재,2025-11-28,매도,-0.09161170388356565,0.29719169178638755,-0.3888033956699532,,,,,,,,,
대한항공,산업재,2025-11-28,매도,0.0617849058786812,0.29719169178638755,-0.23540678590770636,,,,,,,,,
동아에스티,기타,2025-11-27,매도,-0.04743839482112234,0.45273163525925875,-0.5001700300803811,,,,,,,,,
엠앤씨솔루션,산업재,2025-11-26,매수,0.04799682685411991,0.5764540866203098,-0.52845725976619,,,,,,,,,
케이씨,기타,2025-11-26,매수,0.41781719073321333,0.5764540866203098,-0.1586368958870965,,,,,,,,,
와이지엔터테인먼트,기타,2025-11-26,매수,0.22279271681833776,0.5764540866203098,-0.35366136980197205,,,,,,,,,
테크윙,산업재,2025-11-26,매도,0.04325043309899493,0.5764540866203098,-0.5332036535213149,,,,,,,,,
하이트진로,기타,2025-11-25,매도,-0.043595263724434875,0.6185811102222344,-0.6621763739466693,,,,,,,,,
디와이파워,산업재,2025-11-24,매도,0.12703338188202856,0.6235133585239867,-0.49647997664195814,,,,,,,,,
이마트,기타,2025-11-24,매도,0.353092832498503,0.6235133585239867,-0.2704205260254837,,,,,,,,,
한국카본,소재,2025-11-21,매수,0.5532827968550044,0.578886409913278,-0.025603613058273633,,,,,,,,,
파라다이스,기타,2025-11-21,매수,0.09473864082680805,0.578886409913278,-0.48414776908646995,,,,,,,,,
비나텍,기타,2025-11-21,매도,1.308286235373365,0.578886409913278,0.7293998254600871,,,,,,,,,
진성티이씨,산업재,2025-11-20,매수,0.3457224916592434,0.490602642084494,-0.1448801504252506,,,,,,,,,
테스,산업재,2025-11-17,매수,0.6147438365071866,0.42043890326007216,0.1943049332471144,,,,,,,,,
세아제강지주,금융,2025-11-17,매수,0.08504611733613555,0.42043890326007216,-0.3353927859239366,,,,,,,,,
이수페타시스,정보기술,2025-11-14,매수,-0.08550854724010293,0.3727816470315873,-0.4582901942716902,0.15262022331875905,0.868393126303184,-0.715772902984425,,,,,,
경동나비엔,기타,2025-11-13,매수,0.09644351525407019,0.3204263913035843,-0.2239828760495141,0.16132182976614534,0.7971362005280134,-0.635814370761868,,,,,,
하나투어,기타,2025-11-13,매도,0.10948761849190482,0.3204263913035843,-0.2109387728116795,-0.13013544704037047,0.7971362005280134,-0.9272716475683839,,,,,,
한국콜마,소재,2025-11-13,매도,0.10703368715548654,0.3204263913035843,-0.21339270414809774,0.5118225260638547,0.7965655714193726,-0.28474304535551787,,,,,,
