기준년월,구분,기간수익률,연환산수익률,전년도수익률,전년도수익금,3개년수익률,3개년수익금,5개년수익률,5개년수익금,설정후수익률,설정후수익금
2022-06,금융부문(국내주식),-19.58,-19.58,6.73,10975,17.55,72158,,,8.71,115082
2022-06,금융부문(국내채권),-5.8,-4.85,-1.3,-4345,1.26,11950,,,4.04,169742
2022-06,금융부문(단기자금),1.3,1.3,1.1,47,0.85,86,,,3.39,1617
2022-06,금융부문(대체투자),7.25,7.25,23.8,22417,12.28,32082,,,10.13,67670
2022-06,금융부문(전체),-8.01,-7.65,10.79,91212,10.59,236766,,,6.72,510928
2022-06,금융부문(해외주식),-12.59,-12.59,29.48,58493,23.24,114301,,,14.05,140443
2022-06,금융부문(해외채권),-1.55,-1.16,7.09,3722,5.56,6427,,,4.75,17082
2022-06,기금 전체,-8.0,-7.64,10.77,91214,10.57,236783,,,6.76,530836
2022-06,기타부문,0.29,0.58,0.46,6,0.71,27,,,1.45,225
2022-06,복지부문,0.74,0.79,-2.19,-4,-2.08,-10,,,5.94,600
2022-07,금융부문(국내주식),-15.39,-15.39,6.73,10975,17.55,72158,,,8.71,115082
2022-07,금융부문(국내채권),-3.45,-2.66,-1.3,-4345,1.26,11950,,,4.04,169742
2022-07,금융부문(단기자금),1.58,1.58,1.1,47,0.85,86,,,3.39,1617
2022-07,금융부문(대체투자),8.22,8.22,23.8,22417,12.28,32082,,,10.13,67670
2022-07,금융부문(전체),-4.69,-4.4,10.79,91212,10.59,236766,,,6.72,510928
2022-07,금융부문(해외주식),-7.53,-7.53,29.48,58493,23.24,114301,,,14.05,140443
2022-07,금융부문(해외채권),2.17,2.45,7.09,3722,5.56,6427,,,4.75,17082
2022-07,기금 전체,-4.69,-4.39,10.77,91214,10.57,236783,,,6.76,530836
2022-07,기타부문,0.36,0.62,0.46,6,0.71,27,,,1.45,225
2022-07,복지부문,0.9,0.94,-2.19,-4,-2.08,-10,,,5.94,600
2022-08,금융부문(국내주식),-14.76,-14.76,6.73,10975,17.55,72158,,,8.71,115082
2022-08,금융부문(국내채권),-6.0,-5.36,-1.3,-4345,1.26,11950,,,4.04,169742
2022-08,금융부문(단기자금),1.99,1.99,1.1,47,0.85,86,,,3.39,1617
2022-08,금융부문(대체투자),10.9,10.9,23.8,22417,12.28,32082,,,10.13,67670
2022-08,금융부문(전체),-4.74,-4.51,10.79,91212,10.59,236766,,,6.72,510928
2022-08,금융부문(해외주식),-6.46,-6.46,29.48,58493,23.24,114301,,,14.05,140443
2022-08,금융부문(해외채권),3.32,3.56,7.09,3722,5.56,6427,,,4.75,17082
2022-08,기금 전체,-4.74,-4.5,10.77,91214,10.57,236783,,,6.76,530836
2022-08,기타부문,0.43,0.65,0.46,6,0.71,27,,,1.45,225
2022-08,복지부문,1.1,1.13,-2.19,-4,-2.08,-10,,,5.94,600
2022-09,금융부문(국내주식),-25.47,-25.47,6.73,10975,17.55,72158,,,8.71,115082
2022-09,금융부문(국내채권),-7.53,-7.05,-1.3,-4345,1.26,11950,,,4.04,169742
2022-09,금융부문(단기자금),2.62,2.62,1.1,47,0.85,86,,,3.39,1617
2022-09,금융부문(대체투자),16.24,16.24,23.8,22417,12.28,32082,,,10.13,67670
2022-09,금융부문(전체),-7.07,-6.89,10.79,91212,10.59,236766,,,6.72,510928
2022-09,금융부문(해외주식),-9.52,-9.52,29.48,58493,23.24,114301,,,14.05,140443
2022-09,금융부문(해외채권),6.01,6.21,7.09,3722,5.56,6427,,,4.75,17082
2022-09,기금 전체,-7.06,-6.88,10.77,91214,10.57,236783,,,6.76,530836
2022-09,기타부문,0.5,0.67,0.46,6,0.71,27,,,1.45,225
2022-09,복지부문,1.31,1.34,-2.19,-4,-2.08,-10,,,5.94,600
2022-10,금융부문(국내주식),-20.45,-20.45,6.73,10975,17.55,72158,,,8.71,115082
2022-10,금융부문(국내채권),-8.21,-7.89,-1.3,-4345,1.26,11950,,,4.04,169742
2022-10,금융부문(단기자금),2.6,2.6,1.1,47,0.85,86,,,3.39,1617
2022-10,금융부문(대체투자),15.64,15.64,23.8,22417,12.28,32082,,,10.13,67670
2022-10,금융부문(전체),-5.3,-5.18,10.79,91212,10.59,236766,,,6.72,510928
